"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Rueckegasse"
"200",8783,43,4,37,4,"goe_ans",13.12,12,23,6,0,0,0,15,"",FALSE
"201",8784,54,4,47,5,"goe_ans",12.06,12,23,6,0,1,1,3,"tot",FALSE
"202",8785,14,3,9,2,"goe_ans",17,11.5,82,3,0,0,0,0,"gesamter plot von Ahron stubben dominiert",FALSE
"203",8786,27,4,21,4,"goe_ans",8.59,8,15,5,0,0,0,1,"",FALSE
"204",8787,17,3,11,5,"goe_ans",61.53,10,900,4,0,0,0,1,"",FALSE
"205",8788,8,2,4,4,"goe_ans",8.88,9,13,4,0,0,0,0,"",FALSE
"206",8789,25,3,18,4,"goe_ans",10.12,10,19,4,0,0,0,1,"",FALSE
"207",8790,35,5,17,11,"goe_ans",9.77,8,36,4,0,1,1,0,"",FALSE
"208",8791,29,4,19,6,"goe_ans",10.93,11,27,5,0,0,0,0,"",FALSE
"209",8792,10,2,9,1,"goe_ans",18.9,17.5,28,10,2,0,2,1,"",FALSE
"210",8793,30,3,26,3,"goe_ans",10.13,10,18,4,1,0,1,2,"tot",FALSE
"211",8794,51,5,41,7,"goe_ans",10.39,9,39,5,2,0,2,1,"",FALSE
"212",8795,7,2,6,0,"goe_ans",7,7,8,6,0,0,0,0,"",FALSE
"213",8796,12,2,8,4,"goe_ans",10.83,10,16,6,0,0,0,1,"SO SEITE STUPPEN",FALSE
"214",8797,9,3,6,2,"goe_ans",9,9,15,4,0,0,0,0,"",TRUE
"215",8798,40,5,28,8,"goe_ans",13.22,12,30,2,0,0,0,2,"",TRUE
"216",8799,10,3,6,0,"goe_ans",10,8,16,5,0,0,0,1,"",FALSE
"217",8800,27,1,27,0,"goe_ans",8.78,9,15,4,0,0,0,0,"",FALSE
"218",8801,10,2,9,1,"goe_ans",7.8,8,10,5,1,0,1,0,"",FALSE
"219",8802,33,2,30,3,"goe_ans",9.73,9,19,4,0,3,3,0,"",FALSE
"220",8803,22,3,17,4,"goe_ans",12.68,13,20,3,0,3,3,1,"",FALSE
"221",8804,22,2,14,8,"goe_ans",10.68,10.5,20,5,0,4,4,0,"",FALSE
"222",8805,45,4,28,14,"goe_ans",11.67,12,27,6,1,1,2,0,"",FALSE
"223",8806,18,3,15,2,"goe_ans",10.28,9,19,5,0,0,0,0,"tot",FALSE
"224",8807,21,4,10,8,"goe_ans",9,8,14,4,1,0,1,0,"",FALSE
"225",8808,21,2,19,2,"goe_ans",8.33,8,14,3,0,0,0,1,"",FALSE
"226",8809,15,4,10,2,"goe_ans",10.8,9,25,6,0,0,0,0,"",FALSE
"227",8810,78,4,64,10,"goe_ans",11.99,12,25,2,5,7,11,7,"tot",FALSE
"228",8811,27,2,26,1,"goe_ans",9.19,9,18,4,0,1,1,0,"",FALSE
"229",8812,16,1,16,0,"goe_ans",13.06,13,18,7,0,0,0,6,"",FALSE
"230",8813,37,6,30,2,"goe_ans",12.22,12,29,5,0,2,2,2,"",FALSE
