"","Plotnummer","n_trees","n_species","n_ash","n_bah","location","height_mean","height_median","height_max","height_min","n_ets_new","n_ets_old","n_ets_total","Verbiss","comment","Zaun","Ausschluss","Rueckegasse"
"201",8784,64,3,55,8,"goe_ans",9.36,9,18,4,3,1,4,12,"",FALSE,FALSE,FALSE
"202",8785,11,3,5,2,"goe_ans",12,11,30,4,0,0,0,0,"",FALSE,FALSE,FALSE
"203",8786,24,3,16,7,"goe_ans",7.79,7,14,4,2,0,2,1,"",FALSE,FALSE,FALSE
"204",8787,21,3,15,5,"goe_ans",38.76,8,650,4,0,1,1,0,"",FALSE,FALSE,FALSE
"205",8788,5,2,2,3,"goe_ans",9.2,10,11,7,0,0,0,0,"",FALSE,FALSE,FALSE
"206",8789,23,3,17,4,"goe_ans",9.22,8,19,2,1,0,1,1,"",FALSE,FALSE,FALSE
"207",8790,27,5,12,9,"goe_ans",10.04,8,34,5,0,1,1,0,"",FALSE,FALSE,FALSE
"208",8791,33,4,20,6,"goe_ans",11.91,9,41,5,2,0,2,0,"",FALSE,FALSE,FALSE
"209",8792,10,3,8,1,"goe_ans",14.9,15,25,6,1,0,1,3,"",FALSE,FALSE,FALSE
"210",8793,25,3,21,2,"goe_ans",10.56,11,16,3,4,1,5,1,"",FALSE,FALSE,FALSE
"211",8794,44,4,35,7,"goe_ans",10.25,9.5,38,4,4,0,4,0,"",FALSE,FALSE,FALSE
"212",8795,1,1,0,0,"goe_ans",5,5,5,5,0,0,0,0,"",FALSE,FALSE,FALSE
"213",8796,7,2,5,2,"goe_ans",8.86,8,12,7,0,0,0,1,"",FALSE,FALSE,FALSE
"214",8797,2,1,2,0,"goe_ans",11,11,15,7,0,0,0,0,"",FALSE,FALSE,TRUE
"215",8798,24,4,19,3,"goe_ans",13.75,13,31,5,2,1,2,2,"umgefahren",FALSE,FALSE,TRUE
"216",8799,12,3,8,2,"goe_ans",8.92,7.5,16,5,0,0,0,0,"",FALSE,FALSE,FALSE
"217",8800,17,1,17,0,"goe_ans",8.88,9,13,5,0,1,1,0,"",FALSE,FALSE,FALSE
"218",8801,8,3,6,1,"goe_ans",6.62,7,8,4,0,0,0,0,"",FALSE,FALSE,FALSE
"219",8802,38,3,36,1,"goe_ans",8.37,7.5,17,3,4,1,5,0,"es wurde kurz auf die Fläche gefahren",FALSE,FALSE,TRUE
"220",8803,30,4,25,3,"goe_ans",13.13,12.5,30,5,8,2,9,3,"komischer PLot, viele halb verfaulte, vielleicht Rückegasse",FALSE,FALSE,FALSE
"221",8804,25,3,13,11,"goe_ans",10.6,10,19,7,4,2,6,1,"",FALSE,FALSE,FALSE
"222",8805,50,4,30,17,"goe_ans",11.18,10,22,5,3,3,6,2,"",FALSE,FALSE,FALSE
"223",8806,21,3,17,3,"goe_ans",10.38,10,17,5,2,0,2,0,"",FALSE,FALSE,FALSE
"224",8807,15,4,6,5,"goe_ans",9.27,8,15,6,1,0,1,0,"",FALSE,FALSE,FALSE
"225",8808,16,4,13,1,"goe_ans",7.56,7,12,3,0,1,1,0,"",FALSE,FALSE,FALSE
"226",8809,15,4,10,2,"goe_ans",9.67,9,22,6,0,1,1,0,"",FALSE,FALSE,FALSE
"227",8810,89,4,73,12,"goe_ans",11.1,11,21,4,20,5,24,4,"grüne Höhe 6cm, viele frisch tote Eschen",FALSE,FALSE,FALSE
"228",8811,28,3,25,2,"goe_ans",8.04,8,12,4,2,0,2,3,"",FALSE,FALSE,FALSE
"229",8812,18,1,18,0,"goe_ans",11.5,12,18,6,0,2,2,10,"",FALSE,FALSE,FALSE
"230",8813,40,5,32,3,"goe_ans",11.15,10.5,27,4,1,2,3,2,"",FALSE,FALSE,FALSE
"231",8814,16,3,13,1,"goe_ans",12.88,11,45,4,0,0,0,2,"",FALSE,FALSE,FALSE
"232",8815,39,4,28,7,"goe_ans",11.54,10,22,3,1,3,4,2,"",FALSE,FALSE,FALSE
"233",1,24,2,11,13,"lau",21.46,19.5,50,8,0,0,0,3,"",FALSE,FALSE,TRUE
"234",2,24,3,10,13,"lau",13.04,12,25,5,0,1,1,1,"",FALSE,FALSE,TRUE
"235",3,37,2,8,29,"lau",14.16,11,49,4,1,0,1,0,"",FALSE,FALSE,TRUE
