"OBJECTID,N,10,0","Species,C,80","Height,N,19,11","Spread,N,19,11","Condition,C,80","Illness,C,1","Photo,C,80","TrunkDiam,N,19,11","MV_NR,C,10","zdztfzzt_T,C,254","zdztfzzt_1,C,254","zdztfzzt_2,C,254","zdztfzzt_3,C,254","zdztfzzt_4,C,254","zdztfzzt_5,N,19,11","zdztfzzt_6,C,254","zdztfzzt_7,C,254","zdztfzzt_8,C,254","zdztfzzt_9,C,254","x,N,19,11","y,N,19,11","BA_Gruppe,C,10","RASTERVALU,N,13,11","BHD,N,19,11","Bemerkunge,C,50"
63,Cherry,63,0,,F,,0,63,Rotbuche,,F,,,0,,,,,33400000,5992076.924,Bu,51.4356,30,
64,Cherry,64,0,,F,,0,64,Rotbuche,,F,,,0,,,,,33400000,5992086.915,Bu,51.3988,25,
65,Birch,65,0,,F,,0,65,EIche,,F,,,0,,,,,33400000,5992087.569,Ei,45.8926,44,
66,Birch,66,0,,F,,0,66,EIche,,F,,,0,,,,,33400000,5992092.912,Ei,48.5296,46.5,
67,Cherry,67,0,,F,,0,67,Rotbuche,,F,,,0,,,,,33400000,5992089.773,Bu,50.262,42.5,
68,Birch,68,0,,F,,0,68,EIche,,F,,,0,,,,,33400000,5992099.675,Ei,39.7165,63.5,
69,Oak,69,10,,F,,102.7,69,Gem. Esche,10,F,10.2.7,,230.5,,,,,33400000,5992108.434,Es,53.6295,74.1,
70,Oak,70,0,,F,,102.6,70,Gem. Esche,,F,10.2.6,,267.2,,,,,33400000,5992114.596,Es,52.9743,85.8,
71,Oak,71,0,,F,,0,71,Gem. Esche,,F,,,187.5,,,,,33400000,5992108.804,Es,54.0986,60.4,
72,Oak,72,0,,F,,102.17,72,Gem. Esche,,F,10.2.17,,284.5,,,,,33400000,5992105.199,Es,54.4806,91.3,
73,Oak,73,0,,F,,0,73,Gem. Esche,,F,,,175,,,,,33400000,5992102.464,Es,55.0217,55.9,
74,Oak,74,0,,F,,14,74,Gem. Esche,,F,10.2.14,,258,,,,,33400000,5992098.071,Es,55.0955,82.4,
75,Oak,75,0,,F,,16,75,Gem. Esche,,F,16,,188.8,,,,,33400000,5992093.347,Es,54.2569,60.9,
76,Oak,76,0,,F,,102.15,76,Gem. Esche,,F,10.2.15,,183.8,,,,,33400000,5992089.688,Es,53.8784,59.1,
77,Cherry,77,0,,F,,0,77,Rotbuche,,F,,,0,,,,,33400000,5992085.292,Bu,53.9411,32,
