Plotnummer,Quadrant,Rückegasse,Baumart,Höhe,Höhe Vorjahr,Höhe Vorvorjahr,Länge,Länge Vorjahr,Länge Vorvorjahr,Gesamtanzahl Triebe,ets.abgestorben.frisch,ets.abgestorben.alt,ets.lebend,verbiss.lebend,verbiss.abgestorben,sonstiges.abgestorben,Bemerkungen,Foto
,,,esch,95,84,79,,,,1,,,,,,,,
,,,bah,80,72,67,142,135,126,,,,,,,,,
,,,hbu,66,60,57,,,,,,,,,,,,
,,,sah,85,80,76,94,89,85,,,,,,,,,
,,,sah,80,73,69,,,,,,,,,,,,
,sw,,bah,59,30,,,,,,,,,,,,,
,,,bah,115,96,72,130,111,92,,,,,,,,,
,,,bah,99,85,74,,,,,,,,,,,,
,,,esch,70,62,54,,,,1,,,,,,,,
,,,esch,61,56,50,85,80,78,1,,,,,,,,
,,,esch,45,40,36,76,72,68,1,,,,,,,,
,,,esch,82,74,64,96,90,87,1,,,,,,,,
,,,esch,64,56,50,,,,1,,,,,,,,
,,,esch,79,74,65,,,,2,,,,,t1,,,
,,,esch,92,88,83,,,,1,,,,,,,,
,,,esch,95,87,85,,,,1,,,,,,,,
,,,sah,85,74,61,115,101,86,,,,,,,,,
,,,esch,72,66,,,,,1,,,,,,,,
,,,esch,95,84,70,,,,1,,,,,,,,
,,,esch,62,56,43,,,,1,,,,,,,,
,,,sah,110,102,96,,,,,,,,,,,,
,,,bah,95,83,,,,,,,,,,,,,
,,,esch,56,47,,,,,1,,,,,,,,
,,,esch,104,100,95,169,165,161,2,,,,t1,,,,
,so,,esch,69,65,,,,,1,,,,,,,,
,,,esch,65,54,,69,59,,1,,,,,,,,
,,,sah,142,129,120,,,,,,,,,,,,
,,,sah,127,116,99,,,,,,,,,,,,
,,,sah,67,51,38,,,,,,,,,,,,
,,,esch,82,74,66,,,,1,,,,,,,,
,,,esch,40,27,21,80,71,62,1,,,,,,,,
,,,esch,68,65,50,,,,1,,,,,,,,
